case_id,description,hc,co,co2,o2,nox,lambda_analyser,stft_b1,ltft_b1,stft_b2,ltft_b2,obd_lambda,o2_upstream_classification,o2_downstream_voltage,map,maf,rpm,ect,vehicle_speed,fuel_pressure,dtcs,ff_ect,ff_rpm,ff_load,ff_map,ff_stft_b1,ff_ltft_b1,ff_dtcs,engine_temp,primary_symptom,fuel_type,induction_type,altitude_band,emission_class,mileage_bracket,oil_consumption,ignition_age,bank_config,expected_top_fault,expected_top_fault_family,expected_state,expected_confidence_min,expected_confidence_max,expected_demotion_note_contains,expected_perception_gap,reasoning,hc_2500,co_2500,co2_2500,o2_2500,nox_2500,lambda_2500
CSV-001,Perfect stoich with cat,12,0.1,15.2,0.3,25,1.0,0,2,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,no_fault,no_fault,insufficient_evidence,0.0,0.35,,false,"HC 12 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.2%: at or near the efficient ceiling (≥14.5% with cat). O2 0.3%: low — rich consumed the oxygen, or perfect stoich. NOx 25 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-005,Clean burn; slight lean trim,5,0.05,15.5,0.1,15,1.0,-1,0,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,no_fault,no_fault,insufficient_evidence,0.0,0.35,,false,"HC 5 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 0.1%: low — rich consumed the oxygen, or perfect stoich. NOx 15 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-016,λ corrected 1.200→1.271,45,0.02,11.5,4.5,120,1.271,18,12,,,1.18,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,Mechanical_Lean_Vacuum_Leak,lean_condition,named_fault,0.75,0.95,,true,"HC 45 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 11.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 4.5%: severe lean / large misfire / air leak (>4%). NOx 120 ppm: moderate idle/light-load combustion temperature. λ 1.271: lean (≥1.05) — Brettschneider chemistry; OBD λ=1.18 (Δ=+0.09) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: CO≈0 + O2↑ + HC normal → exhaust/sample air leak (master_gas_guide §8.1 row 2), not true lean.",,,,,,
CSV-018,Rich CO; ECU correcting negatively,180,4.5,12.5,0.2,30,0.85,-15,-10,,,0.86,,,,,,,,,P0172,,,,,,,,normal,,petrol,,,,,,,single,Mechanical_Rich_Leaking_Injector,rich_mixture,named_fault,0.70,0.90,,false,"HC 180 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 4.5%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 12.5%: depressed — real combustion deficit (rich, lean-misfire, or dilution). O2 0.2%: low — rich consumed the oxygen, or perfect stoich. NOx 30 ppm: low — rich quench or idle without thermal load. λ 0.85: rich (≤0.95) — chemistry says excess fuel. Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
CSV-022,HC>>1000 + O2 = misfire,1200,0.5,10.0,5.0,20,1.25,10,5,,,1.2,,,,,,,,,P0302,,,,,,,,normal,running_rough,petrol,,,,,,,single,Mechanical_Misfire_Spark_Plug,misfire,named_fault,0.80,0.99,,false,HC 1200 ppm: severe misfire / oil burn / catalyst failure band (>800 ppm). CO 0.5%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 10%: severely depressed (<11% — large rich/lean misfire or sample dilution). O2 5%: severe lean / large misfire / air leak (>4%). NOx 20 ppm: low — rich quench or idle without thermal load. λ 1.25: lean (≥1.05) — Brettschneider chemistry.,,,,,,
CSV-025,Oscillating trims; gas clean,20,0.05,15.0,0.2,50,1.0,10,-10,,,1.0,,,,,,,,,,,,,,,,,normal,,petrol,,,,,,,single,Lazy_O2_Sensor_Aging,sensor_fault,named_fault,0.60,0.80,,false,"HC 20 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.05%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15%: at or near the efficient ceiling (≥14.5% with cat). O2 0.2%: low — rich consumed the oxygen, or perfect stoich. NOx 50 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-041,Physical rich; ECU sees lean,150,3.5,13.0,0.4,40,0.88,25,15,,,1.15,,,,,,,,,P0171,,,,,,,,normal,,petrol,,,,,,,single,ECU_Logic_Inversion_False_Lean,ecu_fault,named_fault,0.80,0.99,,true,"HC 150 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 3.5%: very rich (>3% — expect concurrent HC rise once rich-misfire threshold is crossed). CO2 13%: healthy without-cat reference (13–14.5%). O2 0.4%: low — rich consumed the oxygen, or perfect stoich. NOx 40 ppm: low — rich quench or idle without thermal load. λ 0.88: rich (≤0.95) — chemistry says excess fuel; OBD λ=1.15 (Δ=-0.27) — ECU sees leaner than chemistry, perception-contradiction symptom (rule 7). Pattern: CO↑ + O2↓ → classic rich (rule 1).",,,,,,
CSV-043,Gas clean; sensor PIDs impossible,10,0.1,15.2,0.2,30,1.0,0,0,,,1.0,,,,,,,,,P0113,,,,,,,,normal,,petrol,,,,,,,single,ECU_Input_Error_Ref_Volt_Drift,ecu_fault,named_fault,0.70,0.90,,true,"HC 10 ppm: clean burn (≤50 ppm post-cat ceiling per master_gas_guide §2). CO 0.1%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.2%: at or near the efficient ceiling (≥14.5% with cat). O2 0.2%: low — rich consumed the oxygen, or perfect stoich. NOx 30 ppm: low — rich quench or idle without thermal load. λ 1: in the catalyst window (0.97–1.03).",,,,,,
CSV-045,Rich gas; trims flat,80,1.5,13.5,1.5,40,1.05,0,0,,,1.0,,,,,,,,,P0201,,,,,,,,normal,,petrol,,,,,,,single,ECU_Output_Driver_Hardware_Fail,ecu_fault,named_fault,0.75,0.95,,false,HC 80 ppm: minor inefficiency band (50–250 ppm — pre-cat normal or marginal misfire). CO 1.5%: mild rich / pre-cat normal (0.5–1.5%). CO2 13.5%: healthy without-cat reference (13–14.5%). O2 1.5%: typical pre-cat residual (0.5–1.5%). NOx 40 ppm: low — rich quench or idle without thermal load. λ 1.05: lean (≥1.05) — Brettschneider chemistry.,,,,,,
CSV-052,Gas misfire; OBD count=0,500,0.02,15.5,4.5,10,1.2,0,0,,,1.0,,,,,,,,,,,,,,,,,normal,running_rough,petrol,,,,,,,single,ECU_Misfire_Blindness,misfire,named_fault,0.77,0.97,,true,"HC 500 ppm: real combustion problem (250–800 ppm = lean misfire, vacuum leak, or ignition fault). CO 0.02%: consistent with stoich or post-cat clean-up (≤0.5%). CO2 15.5%: at or near the efficient ceiling (≥14.5% with cat). O2 4.5%: severe lean / large misfire / air leak (>4%). NOx 10 ppm: low — rich quench or idle without thermal load. λ 1.2: lean (≥1.05) — Brettschneider chemistry; OBD λ=1 (Δ=+0.20) — ECU sees richer than chemistry, perception-contradiction symptom (rule 7). Pattern: HC↑ + O2↑ + CO≈0 → lean misfire (rule 2): the fuel never lit.",,,,,,
